Дата;eq 1;eq 2;eq 3;eq 4;eq 5;eq 6;eq 7;eq 8;eq 9;eq 10;eq 11;eq 12;eq 13;eq 14;eq 15;eq 16;eq 17;eq 18;eq 19;eq 20;eq 21;eq 22;eq 23;eq 24;eq 25;eq 26;eq 27;eq 28;eq 29;eq 30;eq 31;eq 32;eq 33;eq 34;eq 35;eq 36;eq 37;eq 38;eq 39;eq 40
20.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
21.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
22.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
23.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
24.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
25.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
26.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
27.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
28.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;
29.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
30.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
31.01.2013;в работе;в работе;в работе;в работе;в работе;;в работе;00:00-09:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;00:00-09:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
01.02.2013;в работе;в работе;в работе;;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе
02.02.2013;в работе;в работе;в работе;08:00-00:00;00:00-08:00;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;17:00-00:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00
03.02.2013;в работе;в работе;в работе;в работе;;;в работе;15:45-00:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00
04.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00
05.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00
06.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00
07.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
08.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
09.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
10.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
11.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
12.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
13.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;11:30-00:00;в работе;в работе;в работе;15:00-00:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
14.02.2013;в работе;в работе;в работе;в работе;в работе;;14:00-00:00;в работе;в работе;20:00-00:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
15.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
16.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
17.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
18.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
19.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
20.02.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
