Дата;eq 1;eq 2;eq 3;eq 4;eq 5;eq 6;eq 7;eq 8;eq 9;eq 10;eq 11;eq 12;eq 13;eq 14;eq 15;eq 16;eq 17;eq 18;eq 19;eq 20;eq 21;eq 22;eq 23;eq 24;eq 25;eq 26;eq 27;eq 28;eq 29;eq 30;eq 31;eq 32;eq 33;eq 34;eq 35;eq 36;eq 37;eq 38;eq 39;eq 40
04.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
05.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
06.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
07.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;"0:00-8:00
12:00-0:00";в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
08.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
09.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
10.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
11.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
12.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
13.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
14.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
15.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
16.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
17.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
18.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
19.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
20.04.2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.04.2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
24.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
25.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
26.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
27.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
28.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
29.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
30.04.2013;в работе;в работе;в работе;в работе;в работе;;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00
01.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
02.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
03.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
04.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
05.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
06.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
07.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
08.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
09.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
10.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
11.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
12.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
13.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
14.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
15.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
16.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
17.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
18.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
19.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
20.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
21.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
22.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
23.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
24.05.2013;в работе;в работе;в работе;в работе;в работе;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
25.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
26.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
27.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
28.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
29.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
30.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
31.05.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
01.06.2013;в работе;в работе;в работе;standby;в работе;standby;в работе;standby;standby;standby;в работе;в работе;standby;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
02.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
03.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
04.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;10:00-20:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
05.06.2013;в работе;в работе;08:00-17:00;08:00-17:00;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;08:00-17:00;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
06.06.2013;в работе;в работе;08:00-17:00;08:00-17:00;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;08:00-17:00;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
07.06.2013;в работе;в работе;08:00-17:00;08:00-17:00;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;08:00-17:00;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
08.06.2013;в работе;в работе;08:00-17:00;08:00-17:00;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;08:00-17:00;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
09.06.2013;в работе;в работе;08:00-17:00;08:00-17:00;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;08:00-17:00;в работе;08:00-17:00;в работе;в работе;08:00-17:00;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
10.06.2013;в работе;в работе;standby;standby;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;standby;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
11.06.2013;в работе;в работе;standby;standby;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;standby;08:00-17:00;08:00-17:00;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
12.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
13.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
14.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
15.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
16.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
17.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;ПГТО;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
18.06.2013;в работе;в работе;в работе;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;standby;в работе;standby;в работе;в работе;в работе;standby;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;standby;standby;standby
19.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
20.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;standby;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
21.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
22.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
23.06.2013;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;;;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;в работе;08:00-20:00;08:00-20:00;08:00-20:00;08:00-20:00
