Дата;Часы;Факт, Мвт*ч;Плановая температура;
13.07.2013;5;7,54;12;
13.07.2013;6;7,666;13;
13.07.2013;7;7,674;14;
13.07.2013;8;7,715;15;
13.07.2013;9;7,762;16;
13.07.2013;10;7,775;17;
13.07.2013;11;7,934;18;
13.07.2013;12;8,022;18;
13.07.2013;13;8,145;18;
13.07.2013;14;8,051;18;
13.07.2013;15;7,935;18;
13.07.2013;16;7,762;18;
13.07.2013;17;7,371;17;
13.07.2013;18;7,367;16;
13.07.2013;19;7,22;15;
13.07.2013;20;7,191;14;
13.07.2013;21;7,262;13;
13.07.2013;22;7,149;12;
13.07.2013;23;7,233;12;
14.07.2013;0;7,215;9;
14.07.2013;1;7,347;9;
14.07.2013;2;7,237;9;
14.07.2013;3;7,107;9;
14.07.2013;4;7,136;9;
14.07.2013;5;7,245;11;
14.07.2013;6;7,317;12;
14.07.2013;7;7,413;13;
14.07.2013;8;7,703;15;
14.07.2013;9;7,658;16;
14.07.2013;10;8,106;17;
14.07.2013;11;8,027;18;
14.07.2013;12;8,17;18;
14.07.2013;13;8,051;19;
14.07.2013;14;8,224;19;
14.07.2013;15;8,005;19;
14.07.2013;16;7,809;19;
14.07.2013;17;7,803;19;
14.07.2013;18;7,813;18;
14.07.2013;19;7,67;17;
14.07.2013;20;7,623;16;
14.07.2013;21;7,498;15;
14.07.2013;22;7,522;14;
14.07.2013;23;7,511;13;
15.07.2013;0;7,656;14;
15.07.2013;1;7,682;13;
15.07.2013;2;7,582;13;
15.07.2013;3;7,481;12;
15.07.2013;4;7,442;13;
15.07.2013;5;7,523;14;
15.07.2013;6;7,635;15;
15.07.2013;7;7,851;17;
15.07.2013;8;8,081;19;
15.07.2013;9;8,237;20;
15.07.2013;10;8,463;21;
15.07.2013;11;8,485;22;
15.07.2013;12;8,451;22;
15.07.2013;13;8,631;23;
15.07.2013;14;8,552;23;
15.07.2013;15;8,291;23;
15.07.2013;16;8,219;23;
15.07.2013;17;8,06;22;
15.07.2013;18;8,082;21;
15.07.2013;19;7,783;19;
15.07.2013;20;7,782;18;
15.07.2013;21;7,839;16;
15.07.2013;22;7,648;15;
15.07.2013;23;7,628;15;
16.07.2013;0;7,657;14;
16.07.2013;1;7,552;14;
16.07.2013;2;7,56;14;
16.07.2013;3;7,489;14;
16.07.2013;4;7,448;14;
16.07.2013;5;7,589;15;
16.07.2013;6;7,712;15;
16.07.2013;7;7,829;16;
16.07.2013;8;7,867;16;
16.07.2013;9;8,131;17;
16.07.2013;10;8,153;17;
16.07.2013;11;8,086;18;
16.07.2013;12;8,169;18;
16.07.2013;13;8,127;19;
16.07.2013;14;8,321;19;
16.07.2013;15;8,27;19;
16.07.2013;16;7,976;18;
16.07.2013;17;8,12;18;
16.07.2013;18;7,984;18;
16.07.2013;19;7,989;17;
16.07.2013;20;7,812;17;
16.07.2013;21;7,649;16;
16.07.2013;22;7,787;15;
16.07.2013;23;7,489;15;
17.07.2013;0;7,379;15;
17.07.2013;1;7,372;15;
17.07.2013;2;7,43;15;
17.07.2013;3;7,376;15;
17.07.2013;4;7,354;15;
17.07.2013;5;7,262;15;
17.07.2013;6;7,393;16;
17.07.2013;7;7,531;17;
17.07.2013;8;7,573;19;
17.07.2013;9;7,753;20;
17.07.2013;10;7,842;21;
17.07.2013;11;8,275;22;
17.07.2013;12;8,148;22;
17.07.2013;13;8,223;22;
17.07.2013;14;8,203;21;
17.07.2013;15;8,271;21;
17.07.2013;16;8,102;21;
17.07.2013;17;8,031;21;
17.07.2013;18;8,014;20;
17.07.2013;19;7,75;20;
17.07.2013;20;7,694;19;
17.07.2013;21;7,552;18;
17.07.2013;22;7,607;17;
17.07.2013;23;7,674;17;
18.07.2013;0;7,606;17;
18.07.2013;1;7,699;16;
18.07.2013;2;7,577;16;
18.07.2013;3;7,602;16;
18.07.2013;4;7,645;16;
18.07.2013;5;7,829;17;
18.07.2013;6;7,851;18;
18.07.2013;7;8,001;20;
18.07.2013;8;8,123;22;
18.07.2013;9;8,275;24;
18.07.2013;10;8,639;25;
18.07.2013;11;8,641;26;
18.07.2013;12;8,731;26;
18.07.2013;13;8,796;27;
18.07.2013;14;8,854;27;
18.07.2013;15;8,803;27;
18.07.2013;16;8,649;27;
18.07.2013;17;8,581;26;
18.07.2013;18;8,446;25;
18.07.2013;19;8,278;23;
18.07.2013;20;7,842;22;
18.07.2013;21;7,88;20;
18.07.2013;22;7,762;19;
18.07.2013;23;7,72;18;
19.07.2013;0;7,573;18;
19.07.2013;1;7,691;17;
19.07.2013;2;7,716;17;
19.07.2013;3;7,652;16;
19.07.2013;4;7,59;16;
19.07.2013;5;7,594;18;
19.07.2013;6;7,888;19;
19.07.2013;7;8,312;21;
19.07.2013;8;8,493;23;
19.07.2013;9;8,715;24;
19.07.2013;10;8,376;23;
19.07.2013;11;8,32;22;
19.07.2013;12;8,43;21;
19.07.2013;13;8,489;20;
