Дата;Часы;Факт, Мвт*ч;Плановая температура;
10.08.2013;22;8,09;22;
10.08.2013;23;8,358;21;
11.08.2013;0;8,165;21;
11.08.2013;1;8,279;20;
11.08.2013;2;8,027;20;
11.08.2013;3;8,055;19;
11.08.2013;4;8,099;19;
11.08.2013;5;8,563;20;
11.08.2013;6;8,531;21;
11.08.2013;7;8,602;24;
11.08.2013;8;9,039;26;
11.08.2013;9;9,031;27;
11.08.2013;10;9,148;28;
11.08.2013;11;9,105;29;
11.08.2013;12;9,405;30;
11.08.2013;13;9,685;30;
11.08.2013;14;9,14;30;
11.08.2013;15;9,556;30;
11.08.2013;16;9,257;30;
11.08.2013;17;9,14;29;
11.08.2013;18;9,235;28;
11.08.2013;19;9,124;26;
11.08.2013;20;8,706;24;
11.08.2013;21;8,232;23;
11.08.2013;22;8,275;22;
11.08.2013;23;8,056;21;
12.08.2013;0;8,191;20;
12.08.2013;1;8,127;20;
12.08.2013;2;8,253;19;
12.08.2013;3;8,111;18;
12.08.2013;4;7,967;18;
12.08.2013;5;8,12;18;
12.08.2013;6;8,496;20;
12.08.2013;7;8,481;22;
12.08.2013;8;8,69;25;
12.08.2013;9;8,808;26;
12.08.2013;10;8,942;27;
12.08.2013;11;8,976;28;
12.08.2013;12;8,963;29;
12.08.2013;13;8,837;29;
12.08.2013;14;8,921;29;
12.08.2013;15;8,926;29;
12.08.2013;16;8,883;28;
12.08.2013;17;8,964;28;
12.08.2013;18;8,727;26;
12.08.2013;19;8,228;24;
12.08.2013;20;8,216;22;
12.08.2013;21;7,901;21;
12.08.2013;22;7,77;20;
12.08.2013;23;7,711;19;
13.08.2013;0;7,586;18;
13.08.2013;1;7,724;17;
13.08.2013;2;7,784;17;
13.08.2013;3;8,005;16;
13.08.2013;4;7,964;17;
13.08.2013;5;8,035;17;
13.08.2013;6;8,01;19;
13.08.2013;7;8,27;21;
13.08.2013;8;8,732;24;
13.08.2013;9;9,186;26;
13.08.2013;10;9,014;27;
13.08.2013;11;9,479;28;
13.08.2013;12;9,53;29;
13.08.2013;13;9,816;29;
13.08.2013;14;9,951;30;
13.08.2013;15;9,563;30;
13.08.2013;16;9,455;30;
13.08.2013;17;9,11;29;
13.08.2013;18;8,728;28;
13.08.2013;19;8,757;26;
13.08.2013;20;8,85;25;
13.08.2013;21;8,67;24;
13.08.2013;22;8,471;23;
13.08.2013;23;8,421;22;
14.08.2013;0;8,502;21;
14.08.2013;1;8,509;21;
14.08.2013;2;8,497;20;
14.08.2013;3;8,501;20;
14.08.2013;4;8,489;20;
14.08.2013;5;8,393;20;
14.08.2013;6;8,441;21;
14.08.2013;7;8,603;22;
14.08.2013;8;8,58;23;
14.08.2013;9;8,502;25;
14.08.2013;10;8,472;26;
14.08.2013;11;8,563;26;
14.08.2013;12;8,548;27;
14.08.2013;13;8,577;27;
14.08.2013;14;8,409;27;
14.08.2013;15;8,493;27;
14.08.2013;16;8,875;26;
14.08.2013;17;8,925;26;
14.08.2013;18;8,673;25;
14.08.2013;19;8,573;23;
14.08.2013;20;8,543;22;
14.08.2013;21;8,581;21;
14.08.2013;22;8,224;21;
14.08.2013;23;8,174;20;
15.08.2013;0;8,199;18;
15.08.2013;1;8,291;18;
15.08.2013;2;8,182;17;
15.08.2013;3;8,228;17;
15.08.2013;4;8,123;17;
15.08.2013;5;8,153;17;
15.08.2013;6;8,279;19;
15.08.2013;7;8,479;20;
15.08.2013;8;8,669;21;
15.08.2013;9;8,675;22;
15.08.2013;10;8,563;23;
15.08.2013;11;8,598;23;
15.08.2013;12;8,787;23;
15.08.2013;13;8,946;24;
15.08.2013;14;9,064;23;
15.08.2013;15;8,972;23;
15.08.2013;16;8,749;23;
15.08.2013;17;8,656;22;
15.08.2013;18;8,565;21;
15.08.2013;19;8,497;20;
15.08.2013;20;8,732;19;
15.08.2013;21;8,606;18;
15.08.2013;22;8,439;17;
15.08.2013;23;8,488;17;
16.08.2013;0;8,068;17;
16.08.2013;1;8,119;17;
16.08.2013;2;8,094;17;
16.08.2013;3;8,056;17;
16.08.2013;4;7,805;17;
16.08.2013;5;7,766;18;
16.08.2013;6;8,278;19;
16.08.2013;7;8,321;20;
16.08.2013;8;8,421;20;
16.08.2013;9;8,501;21;
16.08.2013;10;8,615;22;
16.08.2013;11;8,67;23;
16.08.2013;12;8,601;24;
16.08.2013;13;8,581;24;
16.08.2013;14;8,686;24;
16.08.2013;15;8,942;23;
16.08.2013;16;8,888;22;
16.08.2013;17;8,779;22;
16.08.2013;18;8,417;21;
16.08.2013;19;8,328;20;
16.08.2013;20;8,048;20;
16.08.2013;21;8,266;19;
16.08.2013;22;8,149;18;
16.08.2013;23;7,938;18;
17.08.2013;0;8,309;17;
17.08.2013;1;8,37;17;
17.08.2013;2;8,464;17;
17.08.2013;3;8,35;17;
17.08.2013;4;8,362;17;
17.08.2013;5;8,51;18;
17.08.2013;6;8,555;19;
17.08.2013;7;8,472;21;
17.08.2013;8;8,3;23;
17.08.2013;9;7,737;25;
17.08.2013;10;7,737;26;
17.08.2013;11;8,409;28;
17.08.2013;12;8,693;29;
17.08.2013;13;8,649;30;
17.08.2013;14;9,001;31;
17.08.2013;15;9,153;31;
17.08.2013;16;9,193;30;
17.08.2013;17;8,888;29;
17.08.2013;18;8,716;28;
17.08.2013;19;8,597;26;
17.08.2013;20;8,724;24;
17.08.2013;21;8,694;23;
17.08.2013;22;8,779;22;
17.08.2013;23;8,58;21;
18.08.2013;0;8,472;20;
18.08.2013;1;8,569;19;
18.08.2013;2;8,552;19;
18.08.2013;3;8,446;18;
18.08.2013;4;8,321;19;
18.08.2013;5;8,304;19;
18.08.2013;6;8,724;21;
18.08.2013;7;8,685;22;
18.08.2013;8;9,052;24;
18.08.2013;9;9,375;26;
18.08.2013;10;9,631;28;
18.08.2013;11;9,719;29;
18.08.2013;12;9,652;30;
18.08.2013;13;9,719;31;
18.08.2013;14;9,85;31;
18.08.2013;15;10,067;31;
18.08.2013;16;9,875;30;
18.08.2013;17;9,32;29;
18.08.2013;18;9,182;27;
18.08.2013;19;8,959;26;
18.08.2013;20;8,879;25;
18.08.2013;21;8,85;23;
18.08.2013;22;8,841;22;
18.08.2013;23;8,837;21;
19.08.2013;0;8,653;21;
19.08.2013;1;8,56;20;
19.08.2013;2;8,753;19;
19.08.2013;3;8,648;18;
19.08.2013;4;8,464;18;
19.08.2013;5;8,467;18;
19.08.2013;6;8,329;19;
19.08.2013;7;8,38;19;
19.08.2013;8;8,513;20;
19.08.2013;9;8,481;21;
19.08.2013;10;8,303;21;
19.08.2013;11;8,51;22;
19.08.2013;12;8,518;22;
19.08.2013;13;8,627;23;
19.08.2013;14;8,686;23;
19.08.2013;15;8,716;23;
19.08.2013;16;8,744;23;
19.08.2013;17;8,569;22;
19.08.2013;18;8,522;21;
19.08.2013;19;8,392;19;
19.08.2013;20;8,514;18;
19.08.2013;21;8,409;17;
19.08.2013;22;8,362;15;
19.08.2013;23;8,413;14;
20.08.2013;0;8,35;14;
20.08.2013;1;8,203;13;
20.08.2013;2;8,245;12;
20.08.2013;3;8,165;12;
20.08.2013;4;7,989;12;
20.08.2013;5;8,056;12;
20.08.2013;6;8,182;13;
20.08.2013;7;8,186;15;
20.08.2013;8;8,275;16;
20.08.2013;9;8,32;18;
20.08.2013;10;8,317;19;
20.08.2013;11;8,354;20;
20.08.2013;12;8,283;21;
20.08.2013;13;8,312;21;
20.08.2013;14;7,98;22;
20.08.2013;15;8,321;22;
20.08.2013;16;8,392;22;
20.08.2013;17;8,497;21;
20.08.2013;18;8,312;20;
20.08.2013;19;8,417;19;
20.08.2013;20;8,313;18;
20.08.2013;21;8,329;17;
20.08.2013;22;8,165;17;
20.08.2013;23;8,018;16;
21.08.2013;0;8,237;16;
21.08.2013;1;8,085;15;
21.08.2013;2;8,153;14;
21.08.2013;3;8,194;14;
21.08.2013;4;7,985;14;
21.08.2013;5;8,005;14;
21.08.2013;6;8,073;15;
21.08.2013;7;8,06;15;
21.08.2013;8;8,086;16;
21.08.2013;9;7,921;17;
21.08.2013;10;8,174;17;
21.08.2013;11;8,157;18;
21.08.2013;12;7,947;19;
21.08.2013;13;7,997;20;
21.08.2013;14;8,039;20;
21.08.2013;15;8,165;21;
21.08.2013;16;8,077;21;
21.08.2013;17;7,855;20;
21.08.2013;18;8,064;20;
21.08.2013;19;7,905;19;
21.08.2013;20;7,795;18;
21.08.2013;21;7,859;17;
21.08.2013;22;7,817;16;
21.08.2013;23;7,577;15;
22.08.2013;0;7,623;11;
22.08.2013;1;7,699;10;
22.08.2013;2;7,666;10;
22.08.2013;3;7,719;10;
22.08.2013;4;7,561;10;
22.08.2013;5;7,573;10;
22.08.2013;6;7,77;12;
22.08.2013;7;7,846;13;
22.08.2013;8;7,993;15;
22.08.2013;9;8,031;16;
22.08.2013;10;8,085;17;
22.08.2013;11;7,993;18;
22.08.2013;12;8,119;19;
22.08.2013;13;8,052;20;
22.08.2013;14;8,018;20;
22.08.2013;15;8,082;20;
22.08.2013;16;8,299;19;
22.08.2013;17;7,997;18;
22.08.2013;18;7,876;18;
22.08.2013;19;7,821;16;
22.08.2013;20;7,883;16;
22.08.2013;21;7,754;15;
22.08.2013;22;7,775;14;
22.08.2013;23;7,703;13;
23.08.2013;0;7,695;13;
23.08.2013;1;7,753;13;
23.08.2013;2;7,695;12;
23.08.2013;3;7,817;12;
23.08.2013;4;7,787;12;
23.08.2013;5;7,619;13;
23.08.2013;6;7,699;13;
23.08.2013;7;7,888;14;
23.08.2013;8;7,842;15;
23.08.2013;9;7,837;16;
23.08.2013;10;7,809;16;
23.08.2013;11;7,724;17;
23.08.2013;12;7,699;17;
23.08.2013;13;7,632;17;
23.08.2013;14;7,732;17;
23.08.2013;15;7,813;17;
23.08.2013;16;7,963;16;
23.08.2013;17;7,993;16;
23.08.2013;18;7,909;14;
23.08.2013;19;7,964;13;
23.08.2013;20;7,921;13;
23.08.2013;21;7,893;12;
23.08.2013;22;7,904;12;
23.08.2013;23;7,876;11;
24.08.2013;0;7,921;11;
24.08.2013;1;7,792;11;
24.08.2013;2;7,72;10;
24.08.2013;3;7,686;10;
24.08.2013;4;7,695;10;
24.08.2013;5;7,691;11;
24.08.2013;6;7,623;11;
24.08.2013;7;7,636;12;
24.08.2013;8;7,754;13;
24.08.2013;9;7,875;14;
24.08.2013;10;7,922;14;
24.08.2013;11;7,888;15;
24.08.2013;12;7,804;16;
24.08.2013;13;7,867;16;
24.08.2013;14;8,001;17;
24.08.2013;15;7,976;17;
24.08.2013;16;7,985;17;
24.08.2013;17;7,905;16;
24.08.2013;18;7,745;15;
24.08.2013;19;7,758;14;
24.08.2013;20;7,812;13;
24.08.2013;21;7,859;12;
24.08.2013;22;7,711;11;
24.08.2013;23;7,548;10;
25.08.2013;0;7,653;10;
25.08.2013;1;7,728;10;
25.08.2013;2;7,821;9;
25.08.2013;3;7,863;9;
25.08.2013;4;7,821;9;
25.08.2013;5;7,774;10;
25.08.2013;6;7,8;11;
25.08.2013;7;7,783;12;
25.08.2013;8;7,938;13;
25.08.2013;9;7,998;14;
25.08.2013;10;8,064;15;
25.08.2013;11;7,892;15;
25.08.2013;12;7,913;16;
25.08.2013;13;7,964;16;
25.08.2013;14;8,001;16;
25.08.2013;15;8,014;16;
25.08.2013;16;8,023;16;
25.08.2013;17;7,993;15;
25.08.2013;18;7,913;14;
25.08.2013;19;7,804;13;
25.08.2013;20;7,754;12;
25.08.2013;21;7,804;12;
25.08.2013;22;7,757;12;
25.08.2013;23;7,817;11;
26.08.2013;0;7,77;10;
26.08.2013;1;7,792;10;
26.08.2013;2;7,728;10;
26.08.2013;3;7,754;10;
26.08.2013;4;7,699;10;
26.08.2013;5;7,816;10;
26.08.2013;6;7,762;11;
26.08.2013;7;7,649;12;
26.08.2013;8;7,783;13;
26.08.2013;9;7,963;14;
26.08.2013;10;7,943;14;
26.08.2013;11;7,926;15;
26.08.2013;12;8,022;15;
26.08.2013;13;8,06;16;
26.08.2013;14;8,14;16;
26.08.2013;15;8,098;16;
26.08.2013;16;7,821;15;
26.08.2013;17;7,926;15;
26.08.2013;18;7,8;14;
26.08.2013;19;7,682;13;
26.08.2013;20;7,758;12;
26.08.2013;21;7,774;12;
26.08.2013;22;7,788;11;
26.08.2013;23;7,627;11;
27.08.2013;0;7,775;11;
27.08.2013;1;7,833;11;
27.08.2013;2;7,64;10;
27.08.2013;3;7,712;10;
27.08.2013;4;7,867;10;
27.08.2013;5;7,724;11;
27.08.2013;6;7,855;11;
27.08.2013;7;7,783;11;
27.08.2013;8;7,774;12;
27.08.2013;9;8,027;12;
27.08.2013;10;7,85;12;
27.08.2013;11;7,812;12;
27.08.2013;12;7,909;13;
27.08.2013;13;7,838;13;
27.08.2013;14;8,052;12;
27.08.2013;15;7,926;12;
27.08.2013;16;7,909;12;
27.08.2013;17;7,938;12;
27.08.2013;18;8,014;11;
27.08.2013;19;7,85;10;
27.08.2013;20;7,813;9;
27.08.2013;21;7,745;9;
27.08.2013;22;7,703;9;
27.08.2013;23;7,695;9;
28.08.2013;0;7,657;8;
28.08.2013;1;7,724;8;
28.08.2013;2;7,737;7;
28.08.2013;3;7,711;7;
28.08.2013;4;7,834;7;
28.08.2013;5;7,783;7;
28.08.2013;6;7,762;7;
28.08.2013;7;7,837;8;
28.08.2013;8;7,691;8;
28.08.2013;9;7,447;9;
28.08.2013;10;7,418;10;
28.08.2013;11;7,476;11;
28.08.2013;12;7,745;12;
28.08.2013;13;7,867;13;
28.08.2013;14;7,934;13;
28.08.2013;15;7,842;12;
28.08.2013;16;7,989;12;
28.08.2013;17;8,06;11;
28.08.2013;18;8,006;11;
28.08.2013;19;7,829;10;
28.08.2013;20;7,917;10;
28.08.2013;21;7,767;10;
28.08.2013;22;7,846;10;
28.08.2013;23;7,619;9;
29.08.2013;0;7,745;9;
29.08.2013;1;7,716;8;
29.08.2013;2;7,632;8;
29.08.2013;3;7,699;7;
29.08.2013;4;7,627;7;
29.08.2013;5;7,624;8;
29.08.2013;6;7,636;8;
29.08.2013;7;7,594;10;
29.08.2013;8;7,728;12;
29.08.2013;9;7,682;13;
29.08.2013;10;8,09;15;
29.08.2013;11;8,035;16;
29.08.2013;12;8,039;17;
29.08.2013;13;8,081;18;
29.08.2013;14;8,186;18;
29.08.2013;15;8,191;18;
29.08.2013;16;8,173;18;
29.08.2013;17;7,892;17;
29.08.2013;18;7,855;15;
29.08.2013;19;7,879;14;
29.08.2013;20;7,884;12;
29.08.2013;21;7,729;11;
29.08.2013;22;7,72;11;
29.08.2013;23;7,673;10;
30.08.2013;0;7,788;9;
30.08.2013;1;7,72;9;
30.08.2013;2;7,724;8;
30.08.2013;3;7,535;8;
30.08.2013;4;7,426;8;
30.08.2013;5;7,35;8;
30.08.2013;6;7,607;9;
30.08.2013;7;7,724;11;
30.08.2013;8;7,913;13;
30.08.2013;9;7,935;15;
30.08.2013;10;8,085;16;
30.08.2013;11;8,14;17;
30.08.2013;12;8,245;18;
30.08.2013;13;8,228;19;
30.08.2013;14;8,266;19;
30.08.2013;15;8,3;19;
30.08.2013;16;8,19;19;
30.08.2013;17;8,153;18;
30.08.2013;18;8,127;17;
30.08.2013;19;7,985;15;
30.08.2013;20;8,077;14;
30.08.2013;21;7,632;14;
30.08.2013;22;7,627;14;
30.08.2013;23;7,687;14;
31.08.2013;0;7,728;13;
31.08.2013;1;7,695;12;
31.08.2013;2;7,741;12;
31.08.2013;3;7,766;11;
31.08.2013;4;7,758;11;
31.08.2013;5;7,644;11;
31.08.2013;6;7,741;12;
31.08.2013;7;7,829;14;
31.08.2013;8;7,817;16;
31.08.2013;9;8,043;17;
31.08.2013;10;8,153;19;
31.08.2013;11;8,321;19;
31.08.2013;12;8,177;20;
31.08.2013;13;8,065;21;
31.08.2013;14;8,257;21;
31.08.2013;15;8,426;21;
31.08.2013;16;8,203;21;
31.08.2013;17;8,203;20;
31.08.2013;18;8,056;19;
31.08.2013;19;8,001;17;
31.08.2013;20;7,859;16;
31.08.2013;21;7,825;15;
31.08.2013;22;7,854;14;
31.08.2013;23;7,8;14;
01.09.2013;0;7,733;13;
01.09.2013;1;7,564;12;
01.09.2013;2;7,552;12;
01.09.2013;3;7,666;11;
01.09.2013;4;7,749;11;
01.09.2013;5;7,775;12;
01.09.2013;6;7,833;13;
01.09.2013;7;7,783;15;
01.09.2013;8;7,665;17;
01.09.2013;9;7,699;19;
01.09.2013;10;7,876;20;
01.09.2013;11;7,968;21;
01.09.2013;12;7,921;22;
01.09.2013;13;7,897;23;
01.09.2013;14;8,093;23;
01.09.2013;15;8,149;23;
01.09.2013;16;8,295;22;
01.09.2013;17;8,056;21;
01.09.2013;18;8,098;20;
01.09.2013;19;7,724;18;
01.09.2013;20;7,725;17;
01.09.2013;21;7,829;16;
01.09.2013;22;7,951;15;
01.09.2013;23;7,863;15;
02.09.2013;0;7,703;13;
02.09.2013;1;7,98;13;
02.09.2013;2;7,804;12;
02.09.2013;3;7,661;12;
02.09.2013;4;7,552;11;
02.09.2013;5;7,624;12;
02.09.2013;6;7,778;13;
02.09.2013;7;7,691;15;
02.09.2013;8;7,8;17;
02.09.2013;9;8,022;19;
02.09.2013;10;8,052;21;
02.09.2013;11;8,224;22;
02.09.2013;12;8,19;22;
02.09.2013;13;8,229;23;
02.09.2013;14;8,333;23;
02.09.2013;15;8,333;23;
02.09.2013;16;8,3;22;
02.09.2013;17;8,266;21;
02.09.2013;18;8,035;20;
02.09.2013;19;7,938;19;
02.09.2013;20;7,955;18;
02.09.2013;21;7,972;17;
02.09.2013;22;7,817;16;
02.09.2013;23;7,863;15;
03.09.2013;0;7,766;14;
03.09.2013;1;7,808;14;
03.09.2013;2;7,632;13;
03.09.2013;3;7,291;13;
03.09.2013;4;7,485;12;
03.09.2013;5;7,771;13;
03.09.2013;6;7,82;13;
03.09.2013;7;7,935;15;
03.09.2013;8;8,081;18;
03.09.2013;9;8,413;20;
03.09.2013;10;8,451;21;
03.09.2013;11;8,45;22;
03.09.2013;12;8,38;23;
03.09.2013;13;8,509;23;
03.09.2013;14;8,514;23;
03.09.2013;15;8,716;23;
03.09.2013;16;8,635;22;
03.09.2013;17;8,296;21;
03.09.2013;18;8,005;20;
03.09.2013;19;7,951;19;
03.09.2013;20;8,065;17;
03.09.2013;21;8,005;16;
03.09.2013;22;7,939;16;
03.09.2013;23;7,888;15;
04.09.2013;0;7,951;14;
04.09.2013;1;8,001;14;
04.09.2013;2;8,052;13;
04.09.2013;3;8,018;13;
04.09.2013;4;7,98;13;
04.09.2013;5;7,93;13;
04.09.2013;6;7,922;14;
04.09.2013;7;8,069;16;
04.09.2013;8;8,266;18;
04.09.2013;9;8,438;21;
04.09.2013;10;8,577;22;
04.09.2013;11;8,665;23;
04.09.2013;12;8,627;24;
04.09.2013;13;8,917;24;
04.09.2013;14;9,148;24;
04.09.2013;15;8,892;24;
04.09.2013;16;8,946;24;
04.09.2013;17;8,728;23;
04.09.2013;18;8,501;21;
04.09.2013;19;8,38;20;
04.09.2013;20;8,182;18;
04.09.2013;21;8,274;17;
04.09.2013;22;8,199;17;
04.09.2013;23;7,938;16;
05.09.2013;0;8,144;16;
05.09.2013;1;7,972;16;
05.09.2013;2;7,909;15;
05.09.2013;3;8,145;15;
05.09.2013;4;8,098;15;
05.09.2013;5;8,018;15;
05.09.2013;6;8,068;16;
05.09.2013;7;8,149;17;
05.09.2013;8;8,241;17;
05.09.2013;9;8,572;18;
05.09.2013;10;8,728;19;
05.09.2013;11;8,72;20;
05.09.2013;12;8,766;20;
05.09.2013;13;8,854;21;
05.09.2013;14;9,101;21;
05.09.2013;15;8,775;21;
05.09.2013;16;8,644;20;
05.09.2013;17;8,492;19;
05.09.2013;18;8,195;18;
05.09.2013;19;8,148;17;
05.09.2013;20;8,237;16;
05.09.2013;21;8,111;16;
05.09.2013;22;8,303;15;
05.09.2013;23;8,119;14;
06.09.2013;0;8,25;14;
06.09.2013;1;8,207;13;
06.09.2013;2;8,299;13;
06.09.2013;3;8,174;12;
06.09.2013;4;8,127;12;
06.09.2013;5;7,998;13;
06.09.2013;6;7,925;14;
06.09.2013;7;8,199;15;
06.09.2013;8;8,367;17;
06.09.2013;9;8,988;19;
06.09.2013;10;8,758;20;
06.09.2013;11;8,862;22;
06.09.2013;12;8,678;22;
06.09.2013;13;8,896;23;
06.09.2013;14;8,854;23;
06.09.2013;15;8,875;23;
06.09.2013;16;8,799;22;
06.09.2013;17;8,581;21;
06.09.2013;18;8,485;20;
06.09.2013;19;8,077;19;
06.09.2013;20;8,186;18;
06.09.2013;21;8,505;17;
06.09.2013;22;8,405;16;
06.09.2013;23;8,22;16;
07.09.2013;0;8,27;15;
07.09.2013;1;8,211;14;
07.09.2013;2;7,93;12;
07.09.2013;3;7,88;11;
07.09.2013;4;7,829;11;
07.09.2013;5;7,863;10;
07.09.2013;6;7,921;10;
07.09.2013;7;7,775;10;
07.09.2013;8;7,821;11;
07.09.2013;9;8,001;11;
07.09.2013;10;8,081;11;
07.09.2013;11;8,14;12;
07.09.2013;12;8,178;12;
07.09.2013;13;8,245;12;
07.09.2013;14;8,157;11;
07.09.2013;15;8,09;11;
07.09.2013;16;8,161;10;
07.09.2013;17;8,135;10;
07.09.2013;18;8,229;9;
07.09.2013;19;8,261;9;
07.09.2013;20;8,149;9;
07.09.2013;21;8,241;8;
07.09.2013;22;8,127;8;
07.09.2013;23;8,022;8;
08.09.2013;0;8,077;7;
08.09.2013;1;8,082;7;
08.09.2013;2;8,014;7;
08.09.2013;3;8,093;7;
08.09.2013;4;8,103;7;
08.09.2013;5;8,009;8;
08.09.2013;6;7,993;8;
08.09.2013;7;8,103;9;
08.09.2013;8;7,9;10;
08.09.2013;9;8,086;10;
08.09.2013;10;8,072;11;
08.09.2013;11;7,977;11;
08.09.2013;12;8,106;12;
08.09.2013;13;8,228;12;
08.09.2013;14;8,308;13;
08.09.2013;15;8,174;13;
08.09.2013;16;8,131;12;
08.09.2013;17;7,687;12;
08.09.2013;18;7,707;11;
08.09.2013;19;7,514;10;
08.09.2013;20;7,775;10;
08.09.2013;21;7,817;10;
08.09.2013;22;7,938;9;
08.09.2013;23;7,665;9;
09.09.2013;0;7,914;8;
09.09.2013;1;7,661;8;
09.09.2013;2;7,989;8;
09.09.2013;3;7,917;8;
09.09.2013;4;7,854;9;
09.09.2013;5;7,725;9;
09.09.2013;6;7,858;10;
09.09.2013;7;7,918;10;
09.09.2013;8;7,787;11;
09.09.2013;9;8,022;12;
09.09.2013;10;8,035;14;
09.09.2013;11;7,968;15;
09.09.2013;12;7,989;16;
09.09.2013;13;8,257;17;
09.09.2013;14;8,502;18;
09.09.2013;15;8,698;18;
09.09.2013;16;8,619;18;
09.09.2013;17;8,388;17;
09.09.2013;18;8,367;16;
09.09.2013;19;8,287;16;
09.09.2013;20;8,123;15;
09.09.2013;21;8,22;14;
09.09.2013;22;8,203;13;
09.09.2013;23;8,299;13;
10.09.2013;0;8,359;12;
10.09.2013;1;8,375;11;
10.09.2013;2;8,152;11;
10.09.2013;3;8,25;10;
10.09.2013;4;8,022;10;
10.09.2013;5;7,846;11;
10.09.2013;6;7,481;12;
10.09.2013;7;7,766;13;
10.09.2013;8;7,968;15;
10.09.2013;9;8,165;16;
10.09.2013;10;8,203;18;
10.09.2013;11;8,299;19;
10.09.2013;12;8,405;20;
10.09.2013;13;8,3;20;
10.09.2013;14;8,329;20;
10.09.2013;15;8,32;20;
10.09.2013;16;8,317;19;
10.09.2013;17;8,19;18;
10.09.2013;18;8,199;17;
10.09.2013;19;8,136;16;
10.09.2013;20;7,98;15;
10.09.2013;21;7,959;14;
10.09.2013;22;7,767;13;
10.09.2013;23;7,892;12;
11.09.2013;0;7,879;12;
11.09.2013;1;8,09;11;
11.09.2013;2;8,182;10;
11.09.2013;3;8,123;10;
11.09.2013;4;7,867;10;
11.09.2013;5;7,871;10;
11.09.2013;6;7,926;11;
11.09.2013;7;7,829;12;
11.09.2013;8;7,943;14;
11.09.2013;9;8,169;15;
11.09.2013;10;8,266;17;
11.09.2013;11;8,35;17;
11.09.2013;12;8,443;18;
11.09.2013;13;8,35;18;
11.09.2013;14;8,425;18;
11.09.2013;15;8,237;18;
11.09.2013;16;8,119;18;
11.09.2013;17;8,237;17;
11.09.2013;18;7,875;16;
11.09.2013;19;7,993;15;
11.09.2013;20;8,102;15;
11.09.2013;21;8,14;14;
11.09.2013;22;8,048;14;
11.09.2013;23;8,073;13;
12.09.2013;0;8,051;10;
12.09.2013;1;8,203;10;
12.09.2013;2;8,111;10;
12.09.2013;3;8,094;9;
12.09.2013;4;8,098;9;
12.09.2013;5;8,157;9;
12.09.2013;6;7,892;10;
12.09.2013;7;7,913;11;
12.09.2013;8;7,775;13;
12.09.2013;9;7,976;15;
12.09.2013;10;8,043;16;
12.09.2013;11;8,01;17;
12.09.2013;12;7,943;18;
12.09.2013;13;8,102;19;
12.09.2013;14;8,329;19;
12.09.2013;15;8,316;19;
12.09.2013;16;8,275;19;
12.09.2013;17;8,228;17;
12.09.2013;18;8,047;16;
12.09.2013;19;8,061;15;
12.09.2013;20;8,005;14;
12.09.2013;21;8,027;13;
12.09.2013;22;8,01;12;
12.09.2013;23;8,064;12;
13.09.2013;0;8,052;12;
13.09.2013;1;7,942;11;
13.09.2013;2;8,014;11;
13.09.2013;3;7,968;11;
13.09.2013;4;8,069;11;
13.09.2013;5;8,056;11;
13.09.2013;6;7,863;12;
13.09.2013;7;7,946;13;
13.09.2013;8;7,863;14;
13.09.2013;9;8,115;16;
13.09.2013;10;8,211;17;
13.09.2013;11;8,292;18;
13.09.2013;12;8,383;19;
13.09.2013;13;8,569;20;
13.09.2013;14;8,669;20;
13.09.2013;15;8,463;20;
13.09.2013;16;8,594;19;
13.09.2013;17;8,253;18;
13.09.2013;18;7,972;17;
13.09.2013;19;7,985;16;
13.09.2013;20;7,871;15;
13.09.2013;21;8,19;15;
13.09.2013;22;7,914;14;
13.09.2013;23;8,018;13;
14.09.2013;0;8,022;13;
14.09.2013;1;8,018;12;
14.09.2013;2;8,031;12;
14.09.2013;3;8,052;12;
14.09.2013;4;8,123;11;
14.09.2013;5;8,073;12;
14.09.2013;6;8,048;12;
14.09.2013;7;8,06;13;
14.09.2013;8;8,068;15;
14.09.2013;9;7,851;16;
14.09.2013;10;8,072;18;
14.09.2013;11;8,09;19;
14.09.2013;12;8,337;20;
14.09.2013;13;8,464;20;
14.09.2013;14;8,632;20;
14.09.2013;15;8,703;20;
14.09.2013;16;8,702;19;
14.09.2013;17;8,602;18;
14.09.2013;18;8,279;17;
14.09.2013;19;8,186;16;
14.09.2013;20;7,787;15;
14.09.2013;21;7,69;14;
14.09.2013;22;7,738;14;
14.09.2013;23;7,606;13;
15.09.2013;0;7,904;14;
15.09.2013;1;7,859;13;
15.09.2013;2;7,893;13;
15.09.2013;3;7,804;12;
15.09.2013;4;8,017;12;
15.09.2013;5;7,872;12;
15.09.2013;6;7,951;13;
15.09.2013;7;7,821;14;
15.09.2013;8;7,984;16;
15.09.2013;9;8,262;17;
15.09.2013;10;8,535;19;
15.09.2013;11;8,628;20;
15.09.2013;12;8,739;21;
15.09.2013;13;8,746;21;
15.09.2013;14;8,665;21;
15.09.2013;15;8,539;21;
15.09.2013;16;8,572;20;
15.09.2013;17;8,539;19;
15.09.2013;18;8,19;18;
15.09.2013;19;8,031;16;
15.09.2013;20;8,069;15;
15.09.2013;21;8,119;15;
15.09.2013;22;8,11;14;
15.09.2013;23;8,023;14;
16.09.2013;0;7,733;12;
16.09.2013;1;7,564;12;
16.09.2013;2;7,552;11;
16.09.2013;3;7,666;11;
16.09.2013;4;7,749;10;
16.09.2013;5;7,775;11;
16.09.2013;6;7,833;12;
